window,signal,date,stock,fwd_20,short_pnl_contrib
BR,d12,2022-07-28,2379,0.03362573,-0.002401837857142857
BR,d12,2022-08-25,2603,0.6631016,-0.047364399999999994
BR,d12,2022-08-25,3661,0.04589372,-0.0032781228571428568
BR,d12,2022-08-25,2376,0.025287356,-0.0018062397142857142
BR,d12,2022-08-25,2377,-0.047210302,0.0033721644285714288
BR,d12,2022-08-25,2357,-0.07736944,0.005526388571428571
BR,d12,2022-09-23,2408,0.18510406,-0.014238773846153846
BR,d12,2022-09-23,6770,0.087030716,-0.006694670461538462
BR,d12,2022-09-23,2303,0.07055631,-0.005427408461538462
BR,d12,2022-09-23,3034,0.058426965,-0.0044943819230769235
BR,d12,2022-09-23,3037,0.029661017,-0.0022816166923076927
BR,d12,2022-10-24,2379,0.2862823,-0.020448735714285713
BR,d12,2022-10-24,3037,0.28395063,-0.020282187857142853
BR,d12,2022-10-24,2454,0.26642984,-0.019030702857142853
BR,d12,2022-10-24,3034,0.25265393,-0.018046709285714287
BR,d12,2022-10-24,2883,0.17467248,-0.012476605714285712
BR,d12,2022-11-21,2615,0.10998553,-0.007856109285714286
BR,d12,2022-11-21,2637,0.0979021,-0.006993007142857143
BR,d12,2022-11-21,2610,0.07079646,-0.0050568900000000005
BR,d12,2022-11-21,2609,0.035656404,-0.002546886
BR,d12,2022-11-21,2357,0.03065134,-0.0021893814285714286
BR,d12,2022-12-19,3034,0.17,-0.012142857142857143
BR,d12,2022-12-19,2454,0.14396285,-0.010283060714285714
BR,d12,2022-12-19,2379,0.12914485,-0.009224632142857143
BR,d12,2022-12-19,3037,0.07509881,-0.005364200714285714
BR,d12,2022-12-19,2344,0.07125307,-0.005089505
BR,d12,2023-01-17,2379,0.17156105,-0.012254360714285713
BR,d12,2023-01-17,2303,0.051229507,-0.0036592505
BR,d12,2023-01-17,2609,0.040783033,-0.0029130737857142857
BR,d12,2023-01-17,2615,0.03968254,-0.002834467142857143
BR,d12,2023-01-17,2610,0.03875969,-0.0027685492857142855
BR,d12,2023-02-24,4904,0.10058309,-0.007184506428571429
BR,d12,2023-02-24,3037,0.06844106,-0.004888647142857142
BR,d12,2023-02-24,3045,0.05235602,-0.003739715714285714
BR,d12,2023-02-24,2412,0.04347826,-0.0031055899999999997
BR,d12,2023-02-24,2317,0.014705882,-0.0010504201428571428
BR,d12,2023-03-28,9921,0.17428571,-0.012448979285714286
BR,d12,2023-03-28,1101,0.09766162,-0.00697583
BR,d12,2023-03-28,2360,0.072829135,-0.005202081071428571
BR,d12,2023-03-28,2891,0.05529954,-0.003949967142857142
BR,d12,2023-03-28,2886,0.039634146,-0.0028310104285714285
BR,d12,2023-04-28,2618,0.24029575,-0.01716398214285714
BR,d12,2023-04-28,2360,0.18015666,-0.012868332857142856
BR,d12,2023-04-28,2610,0.14736842,-0.010526315714285714
BR,d12,2023-04-28,9921,0.13868614,-0.009906152857142858
BR,d12,2023-04-28,2884,0.04016064,-0.0028686171428571423
BR,d12,2023-05-29,2915,0.07473309,-0.005338077857142857
BR,d12,2023-05-29,2409,0.06534091,-0.004667207857142857
BR,d12,2023-05-29,2317,0.056074765,-0.0040053403571428565
BR,d12,2023-05-29,1402,0.040498443,-0.0028927459285714285
BR,d12,2023-05-29,9945,0.025677603,-0.0018341145
BR,d12,2023-06-28,2881,0.068515494,-0.004893963857142857
BR,d12,2023-06-28,2890,0.06628242,-0.004734458571428571
BR,d12,2023-06-28,2882,0.059907835,-0.004279131071428571
BR,d12,2023-06-28,3008,0.016431924,-0.0011737088571428572
BR,d12,2023-06-28,2883,0.011952192,-0.000853728
BR,d12,2023-07-26,2606,0.04398148,-0.0031415342857142856
BR,d12,2023-07-26,2603,0.024271844,-0.0017337031428571428
BR,d12,2023-07-26,2337,0.011437909,-0.0008169935
BR,d12,2023-07-26,2313,-0.034406215,0.002457586785714285
BR,d12,2023-07-26,1301,-0.048019208,0.0034299434285714283
BR,d12,2023-08-24,1590,0.14302325,-0.010215946428571427
BR,d12,2023-08-24,9910,0.13690476,-0.009778911428571428
BR,d12,2023-08-24,2609,0.089179546,-0.006369967571428571
BR,d12,2023-08-24,2603,0.08530806,-0.006093432857142857
BR,d12,2023-08-24,2615,0.078431375,-0.0056022410714285705
BR,d12,2023-09-21,2351,0.0952381,-0.006802721428571429
BR,d12,2023-09-21,2303,0.08158765,-0.005827689285714285
BR,d12,2023-09-21,1590,0.078331634,-0.005595116714285714
BR,d12,2023-09-21,6770,0.022304833,-0.0015932023571428571
BR,d12,2023-09-21,9904,0.012110727,-0.0008650519285714286
BR,d12,2023-10-24,1303,0.08557845,-0.006112746428571428
BR,d12,2023-10-24,1101,0.07290016,-0.005207154285714286
BR,d12,2023-10-24,6770,0.061818182,-0.0044155844285714285
BR,d12,2023-10-24,2603,0.061611373,-0.0044008123571428566
BR,d12,2023-10-24,2002,0.057377048,-0.004098360571428571
BR,d12,2023-11-21,2603,0.32142857,-0.022959183571428572
BR,d12,2023-11-21,2609,0.2129964,-0.01521402857142857
BR,d12,2023-11-21,2615,0.19386637,-0.013847597857142856
BR,d12,2023-11-21,1503,0.16336633,-0.011669023571428572
BR,d12,2023-11-21,2606,0.15265487,-0.010903919285714285
BR,d12,2023-12-19,2409,0.10606061,-0.0075757578571428565
BR,d12,2023-12-19,2603,0.067567565,-0.004826254642857142
BR,d12,2023-12-19,2618,0.0375817,-0.002684407142857143
BR,d12,2023-12-19,2360,0.023923445,-0.0017088175
BR,d12,2023-12-19,2609,0.017857144,-0.0012755102857142854
BR,d12,2024-01-17,1503,0.56696427,-0.040497447857142856
BR,d12,2024-01-17,2376,0.30859375,-0.022042410714285712
BR,d12,2024-01-17,3231,0.1975435,-0.01411025
BR,d12,2024-01-17,9921,0.1951952,-0.013942514285714285
BR,d12,2024-01-17,2360,0.10747664,-0.007676902857142857
BR,d12,2024-02-23,2308,0.16440678,-0.011743341428571428
BR,d12,2024-02-23,2354,0.158,-0.011285714285714284
BR,d12,2024-02-23,2360,0.06540085,-0.004671489285714286
BR,d12,2024-02-23,2409,0.03133903,-0.0022385021428571426
BR,d12,2024-02-23,2027,0.008298756,-0.0005927682857142856
BR,d12,2024-03-25,2634,0.15407854,-0.01100561
BR,d12,2024-03-25,2542,0.0948718,-0.006776557142857143
BR,d12,2024-03-25,2610,0.06806283,-0.004861630714285714
BR,d12,2024-03-25,2002,0.022916667,-0.0016369047857142857
BR,d12,2024-03-25,1101,0.014263075,-0.0010187910714285714
BR,d12,2024-04-24,2615,0.64615387,-0.046153847857142855
BR,d12,2024-04-24,2345,0.276808,-0.019771999999999998
BR,d12,2024-04-24,3443,0.22083333,-0.015773809285714285
BR,d12,2024-04-24,6770,0.16856492,-0.012040351428571428
BR,d12,2024-04-24,2360,0.14198783,-0.010141987857142857
BR,d12,2024-05-23,1476,0.10358974,-0.007399267142857142
BR,d12,2024-05-23,2408,0.072981365,-0.005212954642857143
BR,d12,2024-05-23,9910,0.06472492,-0.004623208571428571
BR,d12,2024-05-23,3443,0.058020476,-0.004144319714285714
BR,d12,2024-05-23,2345,0.048828125,-0.003487723214285714
BR,d12,2024-06-21,2027,0.06420765,-0.004586260714285715
BR,d12,2024-06-21,3661,0.06346154,-0.0045329671428571425
BR,d12,2024-06-21,1301,0.011764706,-0.0008403361428571428
BR,d12,2024-06-21,1303,0.003992016,-0.000285144
BR,d12,2024-06-21,1476,-0.003717472,0.00026553371428571427
BR,d12,2024-07-19,2337,0.059615385,-0.004258241785714286
BR,d12,2024-07-19,9910,0.043636363,-0.003116883071428571
BR,d12,2024-07-19,2324,0.009244992,-0.0006603565714285714
BR,d12,2024-07-19,2377,-0.0028490028,0.0002035002
BR,d12,2024-07-19,2002,-0.04978355,0.0035559678571428573
BR,d12,2024-08-20,3037,0.068627454,-0.004901961
BR,d12,2024-08-20,2409,0.033950616,-0.002425044
BR,d12,2024-08-20,2324,0.030534351,-0.0021810250714285715
BR,d12,2024-08-20,3231,0.009852217,-0.0007037297857142857
BR,d12,2024-08-20,2376,-0.013513514,0.000965251
BR,d12,2024-09-18,3443,0.25490198,-0.018207284285714283
BR,d12,2024-09-18,1590,0.18855657,-0.013468326428571428
BR,d12,2024-09-18,3231,0.10243902,-0.0073170728571428575
BR,d12,2024-09-18,2376,0.072407044,-0.005171931714285714
BR,d12,2024-09-18,2002,0.051643193,-0.0036887994999999997
BR,d12,2024-10-21,3661,0.1393643,-0.009954592857142857
BR,d12,2024-10-21,2356,0.06521739,-0.004658385
BR,d12,2024-10-21,2379,0.031185031,-0.002227502214285714
BR,d12,2024-10-21,2376,0.018248174,-0.0013034409999999998
BR,d12,2024-10-21,2002,-0.004464286,0.00031887757142857136
BR,d12,2024-11-19,2313,0.15522876,-0.01108776857142857
BR,d12,2024-11-19,9914,0.071428575,-0.00510204107142857
BR,d12,2024-11-19,1590,0.054678008,-0.003905572
BR,d12,2024-11-19,3034,0.022869023,-0.0016335016428571426
BR,d12,2024-11-19,9921,0.013422819,-0.0009587727857142857
BR,d12,2024-12-17,2385,0.027027028,-0.001930502
BR,d12,2024-12-17,3034,0.026422765,-0.0018873403571428571
BR,d12,2024-12-17,3037,-0.006993007,0.0004995005
BR,d12,2024-12-17,2353,-0.015957447,0.0011398176428571427
BR,d12,2024-12-17,9921,-0.026490066,0.0018921475714285714
BR,d12,2025-01-15,2408,0.41594455,-0.029710325
BR,d12,2025-01-15,2344,0.34642857,-0.024744897857142855
BR,d12,2025-01-15,1519,0.31936127,-0.02281151928571428
BR,d12,2025-01-15,6770,0.29411766,-0.021008404285714283
BR,d12,2025-01-15,2337,0.17615177,-0.012582269285714286
BR,d12,2025-02-21,2303,0.029850746,-0.0029850746
BR,d12,2025-02-21,2887,0.014326648,-0.0014326648000000002
BR,d12,2025-02-21,2409,-0.023255814,0.0023255814
BR,d12,2025-02-21,1301,-0.03652393,0.0036523930000000003
BR,d12,2025-02-21,2337,-0.048387095,0.0048387095
BR,d12,2025-03-24,2303,-0.032329988,0.0023092848571428567
BR,d12,2025-03-24,2337,-0.041162226,0.002940159
BR,d12,2025-03-24,1303,-0.05304212,0.0037887228571428567
BR,d12,2025-03-24,2408,-0.0799508,0.005710771428571428
BR,d12,2025-03-24,1301,-0.10980392,0.007843137142857143
BR,d12,2025-04-23,1503,0.40433213,-0.028880866428571426
BR,d12,2025-04-23,3037,0.22543353,-0.016102395
BR,d12,2025-04-23,1519,0.22506393,-0.016075995
BR,d12,2025-04-23,2360,0.1842576,-0.013161257142857142
BR,d12,2025-04-23,2408,0.13770053,-0.00983575214285714
BR,d12,2025-05-22,2360,0.07099698,-0.005071212857142857
BR,d12,2025-05-22,2354,0.06101695,-0.004358353571428571
BR,d12,2025-05-22,6446,0.053892214,-0.003849443857142857
BR,d12,2025-05-22,2449,0.04338843,-0.0030991735714285713
BR,d12,2025-05-22,3037,0.03773585,-0.002695417857142857
BR,d12,2025-06-20,3037,0.21363637,-0.015259740714285713
BR,d12,2025-06-20,1326,0.15470852,-0.01105060857142857
BR,d12,2025-06-20,2449,0.13366337,-0.00954738357142857
BR,d12,2025-06-20,9933,0.11706349,-0.008361677857142856
BR,d12,2025-06-20,1303,0.099631,-0.0071164999999999996
BR,d12,2025-07-18,1326,0.1553398,-0.0110957
BR,d12,2025-07-18,2637,0.11631945,-0.008308532142857143
BR,d12,2025-07-18,2312,0.100271,-0.007162214285714286
